Date,Inventory_Level,Atlanta_Inventory,Nashville_Inventory,NY_Inventory,LA_Inventory,Chicago_Inventory,Atlanta_Footwear,Atlanta_Apparel,Nashville_Footwear,Nashville_Apparel,NY_Footwear,NY_Apparel,LA_Footwear,LA_Apparel,Chicago_Footwear,Chicago_Apparel
01/01/17,29154,5931.935226,5895.900882,5775.174168,5693.747046,5857.242678,4156.252548,1775.682678,4131.005184,1764.895698,4046.42943,1728.744738,3989.375052,1704.371994,4103.921118,1753.32156
01/02/17,55036,11198.11988,11130.09539,10902.19131,10748.47576,11057.11765,7846.042232,3352.077652,7798.381056,3331.714332,7638.72162,3263.469692,7531.016168,3217.459596,7747.252612,3309.86504
01/03/17,83609,17011.83962,16908.4989,16562.27403,16328.75409,16797.63336,11919.46626,5092.373363,11847.06086,5061.438033,11604.51116,4957.762873,11440.88834,4887.865749,11769.3881,5028.24526
01/04/17,105607,21487.75068,21357.22043,20919.90184,20624.94149,21217.18555,15055.54513,6432.205549,14964.08947,6393.130959,14657.72357,6262.178279,14451.05067,6173.890827,14865.98057,6351.20498
01/05/17,143171,29130.8602,28953.90084,28361.02973,27961.15313,28764.0561,20410.7441,8720.116097,20286.75802,8667.142827,19871.41895,8489.610787,19591.2333,8369.919831,20153.75216,8610.30394
01/06/17,177813,36179.4333,35959.65643,35223.3328,34726.70109,35723.87639,25349.37691,10830.05639,25195.39085,10764.26558,24679.55534,10543.77746,24331.57529,10395.12579,25030.20257,10693.67382
01/07/17,222539,45279.78779,45004.72959,44083.19559,43461.64416,44709.64287,31725.60492,13554.18287,31532.88614,13471.84344,30887.30051,13195.89508,30451.79168,13009.85248,31326.14741,13383.49546
01/08/17,248947,50652.99714,50345.29865,49314.40912,48619.10015,50015.19493,35490.38221,15162.61493,35274.79411,15070.50454,34552.59887,14761.81026,34065.40959,14553.69057,35043.52235,14971.67258
01/09/17,269949,54926.25308,54592.59612,53474.73731,52720.76975,54234.64374,38484.46934,16441.78374,38250.6935,16341.90261,37467.57146,16007.16585,36939.28126,15781.48849,37999.91088,16234.73286
01/10/17,282083,57395.14593,57046.49134,55878.38564,55090.52782,56672.44928,40214.31665,17180.82928,39970.03277,17076.45857,39151.70999,16726.67565,38599.67355,16490.85426,39707.97766,16964.47162
01/11/17,319671,65043.1387,64648.02534,63324.26773,62431.42663,64224.1416,45572.9371,19470.2016,45296.10202,19351.92333,44368.73645,18955.53129,43743.1403,18688.28633,44999.12766,19225.01394
01/12/17,331018,67351.90144,66942.76319,65572.01766,64647.48438,66503.83333,47190.58812,20161.31333,46903.92653,20038.83667,45943.64331,19628.37435,45295.84108,19351.6433,46596.41081,19907.42252
1/13/2017,360849,73421.58518,72975.57582,71481.30011,70473.44885,72497.09004,51443.35514,21978.23004,51130.8599,21844.71591,50084.03696,21397.26315,49377.85546,21095.59339,50795.63118,21701.45886
1/14/2017,390936,79543.35698,79060.16009,77441.29411,76349.40986,78541.77895,55732.61803,23810.73895,55394.06746,23666.09263,54259.96212,23181.33199,53494.90037,22854.5095,55030.88791,23510.89104
1/15/2017,407388,82890.82897,82387.2974,80700.3037,79562.46901,81847.10092,58078.04806,24812.78092,57725.25005,24662.04736,56543.41746,24156.88624,55746.15914,23816.30987,57346.7866,24500.31432
1/16/2017,428970,87282.09693,86751.89001,84975.52524,83777.41203,86183.07579,61154.82114,26127.27579,60783.33312,25968.55689,59538.89115,25436.63409,58699.39686,25078.01517,60384.81999,25798.2558
1/17/2017,445613,90668.4315,90117.65383,88272.3704,87027.77329,89526.77099,63527.48051,27140.95099,63141.57965,26976.07418,61848.85634,26423.51406,60976.79169,26050.98159,62727.60517,26799.16582
